nah,en
acatl,reed
chi:lli,chile pepper
cuahuitl,tree/wood
yetl,bean
metl,maguey
nanacatl/xo:le:tl,mushroom
ocotl,pine tree
xihuitl,leaf
xo:chitl,flower
zacatl,grass
