nah,en
a:matl,paper
a:tl,water
iztatl,salt
nextli,ashes
po:ctli,smoke
tecolli,charcoal
tepoztli,copper/iron/metal
tetl,stone
tla:lli,earth/dirt
zoquitl,mud/clay
