nah,en
ahmo: nicmati,I don't know
niccualitta,I like it
cualli cah,O.K.
tlazohcama:ti,thank you
tlazohcama:ti huel miac,many thanks
ahmo: tlein i:ca,you're welcome
huel te:tlao:coltih,it's a shame
ahmo: niquilna:miqui,I don't remember it
tlein tiquihtoa,what do you say
tlein ticnequi,what do you want
ma:ciuhqui,so long/goodbye
