nah,en
chi:chi:huala:yo:tl,milk
cueyamo:lli,frog stew
maza:mo:lli,venison stew
nacamo:lli,meat stew
octli,wine
pi:yohnacatl,chicken meat
pitzonacatl,pig meat
textli,dough
tlaxcalli,bread/tortilla
to:totetl,egg
