nah,en
calaqu(i),to enter/go in
cha:nti,to dwell/reside
cho:ca,to weep
coch(i),to sleep
cuala:n(i),to get angry
huetzca,to laugh
huetz(i),to fall
miqu(i),to die
nehnem(i),to walk
nem(i),to live
patla:n(i),to fly
pa:qu(i),to be happy
pi:na:hua,to be ashamed
qui:z(a),to come out/to emerge
temo:,to descend
tena,to complain of discomfort/to moan
tlehco:,to ascend
tzahtzi,to shout
tzecui:n(i),to run/jump
