nah,en
a:moxtli,book
cactli,shoe
caxitl,plate/bowl
chiquihuitl,basket
ci:tlalin,star
co:mitl,jar/pot
cue:itl,skirt
cui:catl,song
mi:tl,arrow
petlatl,reed mat
tlapechtli,bed
tlahto:lli,speech
to:ca:itl,name
xo:chitl,flower
xoctli,pot
metlatl,corn-grinding stone
