nah,en
nehhua:tl,I (long)
nehhua,I (medium)
neh,I (short)
tehhua:tl,you (long)
tehhua,you (medium)
teh,you (short)
tehhua:n,we
amehhua:n,y'all
amehhua:ntin,y'all (long)
