nah,en
atemitl,louse
a:zcatl,ant
cahua:yoh,horse
chapolin,grasshopper
chichi,dog
co:a:tl,snake
coyo:tl,coyote
co:lo:tl,scorpion
coyamehtl,pig
pitzotl,pig
cua:uhtli,eagle
cueyatl,frog
epatl,skunk
hui:tzilin,hummingbird
ichcatl,sheep
itzcui:ntli,native mexican dog
maza:tl,deer
michin,fish
miztli,cat
moyotl,mosquito
ocuilin,worm
pa:pa:lo:tl,butterfly
quimichin,mouse
tecolo:tl,owl
tocatl,spider
to:chtli,rabbit
to:to:tl,bird
yo:lcatl,animal
za:yo:lin,fly
