nah,en
achi:quin,a little later
achtopa,first
a:xca:n,today/now
ayamo,not yet
ce:ce:pa,sometimes
cecpa/ceppa,once
ihcua:c,when (conjunction)
i:hui:ptla,day after tomorrow
i:ya:lhua,yesterday
miacpa,many times / often
mo:mo:ztla,every day
mo:ztla,tomorrow
nochipa,always
oc,still
occeppa,again
onca:n,then/there
(y)e:xpa,three times
yo:lic,slowly
