nah,en
a:ltepe:tl,town
calli,house
cha:ntli,home
mi:lli,field
ohtli,road
o:zto:tl,cave
tepe:tl,hill
cochi:huaya:n,bedroom
te:machti:lo:ya:n,school
tlacualchi:hualo:ya:n,kitchen
a:moxcalli,bookstore
a:xi:xcalli,restroom
chichicalli,doghouse
ichcacalli,sheepfold
pahcalli,pharmacy
pitzocalli,pigsty
teohcalli,church
to:tolcalli,henhouse
xo:chimi:lli,garden
