nah,en
a:huitl,aunt
cihtli,grandmother
cihua:tl,woman/wife
co:lli,grandfather
cone:tl,child
ichpo:chtli,girl
na:ntli,mother
oquichtli,man
pilli,child/nobleperson
tahtli,father
te:lpochtli,boy
te:uctli,lord/chief
tla:catl,person
tlahtli,uncle
